ADCP_Location,Lsmaj,Lsmaj_ci,Lsmin,Lsmin_ci,bottomFriction,frq,g,g_ci,lat,lind,lon,name,reftime,theta,theta_ci,umean,vmean
DG2,0.4436796422151198,0.02178733491284898,0.0031091563357852625,0.01442660423148234,wesley,0.08333333333333333,217.23953927955148,2.8102754092716076,44.6819,56.0,-65.7641,S2  ,734916.1006944445,113.32558959234989,1.8655648886232508,0.1129387203337398,-0.01354730438622755
DG2,0.14362554813291306,0.022222858676158575,0.005379519118228093,0.014624214686367917,wesley,0.08356149244304834,299.34674609978174,8.861144707231876,44.6819,58.0,-65.7641,K2  ,734916.1006944445,109.9061903847103,5.864875263058006,0.1129387203337398,-0.01354730438622755
DG3,0.013309773629988761,0.0039061841555028186,0.0010972686578177848,0.0025250948456074502,wesley,0.03721850247996433,258.93022835040114,16.951473986360522,44.6819,10.0,-65.7618,Q1  ,734921.4027777778,109.16584340958768,11.034830224401396,0.05892200819819196,-0.051580089961847465
DG3,0.025728237696447692,0.0039591153860064985,-0.0003655868482222418,0.0024029539394474,wesley,0.03873065444898638,269.5958612877254,8.848821129154144,44.6819,12.0,-65.7618,O1  ,734921.4027777778,104.79343756979095,5.33574561582386,0.05892200819819196,-0.051580089961847465
DG3,0.02780077320140266,0.004145826213712116,-0.0003673517120389453,0.0048182949595923725,wesley,0.041552587111808884,316.1847395216379,8.547598599378631,44.6819,18.0,-65.7618,P1  ,734921.4027777778,108.02892764548562,9.931744760401452,0.05892200819819196,-0.051580089961847465
DG3,0.06786572267732047,0.004140994811094869,0.00014424717254993974,0.004982691765789456,wesley,0.041780746221524445,290.15122249213346,3.501741038223879,44.6819,20.0,-65.7618,K1  ,734921.4027777778,106.18415719268813,4.1998647977165495,0.05892200819819196,-0.051580089961847465
DG3,0.3402426456643267,0.026504193184157962,0.003374057089277044,0.008506603783967323,wesley,0.07899924870148879,168.6775792033129,4.461249592668527,44.6819,41.0,-65.7618,N2  ,734921.4027777778,107.33024151031152,1.4340793320330665,0.05892200819819196,-0.051580089961847465
DG3,1.965110552867187,0.026442952552108982,-0.0030136642169498185,0.008585950487861474,wesley,0.08051140067051082,183.7957780830006,0.7729255454813191,44.6819,47.0,-65.7618,M2  ,734921.4027777778,107.47476491459368,0.24971215270090277,0.05892200819819196,-0.051580089961847465
DG3,0.3384824184907854,0.02654817361468757,-0.008852305230603735,0.009456737103041898,wesley,0.08333333333333333,227.80102658507332,4.4971526325193105,44.6819,56.0,-65.7618,S2  ,734921.4027777778,107.19951218218723,1.6061701227964982,0.05892200819819196,-0.051580089961847465
DG3,0.06335196784618494,0.025660636579953416,0.0022369689424076335,0.01183034779035532,wesley,0.08356149244304889,228.60982356774724,23.245524724690053,44.6819,58.0,-65.7618,K2  ,734921.4027777778,112.8054997543315,10.743010871450647,0.05892200819819196,-0.051580089961847465
DG4,0.010626651904433449,0.0043022467708437725,0.0022730866236331275,0.004236326981477286,wesley,0.03721850247996421,293.91219301049045,24.92491386629893,44.6803,10.0,-65.7633,Q1  ,734921.517361111,136.47042086112543,24.42705398441874,0.03509648001713308,0.06170764229769857
DG4,0.026143923960449712,0.003975873355063818,0.0035006880418049554,0.004460351474398831,wesley,0.038730654448986435,274.46431551195053,8.980496714066554,44.6803,12.0,-65.7633,O1  ,734921.517361111,125.60975434828961,10.014651949162063,0.03509648001713308,0.06170764229769857
DG4,0.03247221883714539,0.006760219552408191,0.001232262083902428,0.00916123266008372,wesley,0.041552587111808884,312.6836699585243,11.965574302127296,44.6803,18.0,-65.7633,P1  ,734921.517361111,124.49230993622962,16.19133140082308,0.03509648001713308,0.06170764229769857
DG4,0.07513065786139964,0.0069956080067746715,-0.0005593176911747391,0.009411628787001922,wesley,0.04178074622152445,283.145292818073,5.3791783386696626,44.6803,20.0,-65.7633,K1  ,734921.517361111,125.13442115504738,7.119329992359692,0.03509648001713308,0.06170764229769857
DG4,0.31545394876181837,0.017579497390673694,-0.0003104756394608499,0.013990968372773367,wesley,0.07899924870148865,165.73839680370548,3.198809085117363,44.6803,41.0,-65.7633,N2  ,734921.517361111,127.83918507956572,2.536528524422563,0.03509648001713308,0.06170764229769857
DG4,1.8289049960763866,0.017821943854850024,0.01653779724917115,0.013684015861731676,wesley,0.0805114006705109,180.07181480588565,0.5594016037588891,44.6803,47.0,-65.7633,M2  ,734921.517361111,126.73804637654715,0.4279762034504421,0.03509648001713308,0.06170764229769857
DG4,0.32428599009437903,0.01866940370277249,0.006155449174570726,0.01594529267680804,wesley,0.08333333333333333,218.02937791613363,3.3039036127181602,44.6803,56.0,-65.7633,S2  ,734921.517361111,127.4316492841184,2.8155000394519596,0.03509648001713308,0.06170764229769857
DG4,0.08188160686056639,0.019123588035766054,0.003768628787642357,0.016071503300715793,wesley,0.0835614924430489,230.93563367170842,13.412709296067272,44.6803,58.0,-65.7633,K2  ,734921.517361111,125.895594341003,11.291399241674512,0.03509648001713308,0.06170764229769857
DG5,0.012125970113379292,0.0034670501004264156,0.0038720197792639797,0.004000454240190783,wesley,0.03721850247997349,311.1523707450539,19.466920771105222,44.6752,10.0,-65.7599,Q1  ,734913.5,128.01549536061975,21.842875432604604,0.05802136823834065,0.11431318747718255
DG5,0.024247962686106014,0.0024888135505774112,0.00540674062230145,0.004684721668581382,wesley,0.03873065444898286,266.6550069840889,6.726953564193493,44.6752,12.0,-65.7599,O1  ,734913.5,99.15793169844315,11.692312978403077,0.05802136823834065,0.11431318747718255
DG5,0.010807972462634409,0.015222407538599604,-0.0007307896794654647,0.004650952328283355,wesley,0.0415525871118093,87.41757567064204,81.4951447458816,44.6752,18.0,-65.7599,P1  ,734913.5,14.742912405271824,25.250598078825217,0.05802136823834065,0.11431318747718255
