ADCP_Location,Lsmaj,Lsmin,bottomFriction,frq,g,lat,lind,lon,name,reftime,theta,umean,vmean
DG4,0.04027202461735427,0.0015014073002808173,wesley,0.04178074622151706,288.14130034882186,44.6803,20.0,-65.7633,K1  ,734780.7638888889,104.11228431376145,0.058747127276439735,0.02231320402401544
DG4,0.3838482473093775,-0.002635617218624181,wesley,0.07899924870164445,157.16479290481124,44.6803,41.0,-65.7633,N2  ,734780.7638888889,104.83788463223247,0.058747127276439735,0.02231320402401544
DG4,1.9490639668581577,0.010982478678384644,wesley,0.08051140067044102,182.96490623924745,44.6803,47.0,-65.7633,M2  ,734780.7638888889,104.94140163103825,0.058747127276439735,0.02231320402401544
DG4,0.34001885787519476,0.0017591595419738648,wesley,0.08333333333333333,179.88464833527047,44.6803,56.0,-65.7633,S2  ,734780.7638888889,108.12446918264988,0.058747127276439735,0.02231320402401544
DG4,0.2831393896187053,0.020661482831266065,wesley,0.08356149244303412,340.3429117335147,44.6803,58.0,-65.7633,K2  ,734780.7638888889,106.05716029379914,0.058747127276439735,0.02231320402401544
DG5,0.0017800082866113237,8.129301318493803e-05,wesley,0.03721850248012738,174.6767230944141,44.6752,10.0,-65.7599,Q1  ,734780.7638888889,117.92636617482776,0.015950733308125412,0.0029793674219057657
DG5,0.010899938921045241,0.00037564967719874633,wesley,0.03873065444892396,281.36981143229923,44.6752,12.0,-65.7599,O1  ,734780.7638888889,103.08764188765905,0.015950733308125412,0.0029793674219057657
DG5,0.006143541086606174,0.001365834462170357,wesley,0.04155258711181626,283.828114901275,44.6752,18.0,-65.7599,P1  ,734780.7638888889,121.25555982150196,0.015950733308125412,0.0029793674219057657
DG5,0.020912385562469445,0.0021151199276053714,wesley,0.04178074622151706,292.5091782572469,44.6752,20.0,-65.7599,K1  ,734780.7638888889,107.54223293386553,0.015950733308125412,0.0029793674219057657
DG5,0.19352221920785814,-0.0006682543159753085,wesley,0.07899924870164445,157.68361874971097,44.6752,41.0,-65.7599,N2  ,734780.7638888889,106.15607466232686,0.015950733308125412,0.0029793674219057657
DG5,0.9845546319357134,-0.0016924098649013786,wesley,0.08051140067044102,183.43576567392722,44.6752,47.0,-65.7599,M2  ,734780.7638888889,106.3002355931142,0.015950733308125412,0.0029793674219057657
DG5,0.17147918762087447,-0.0015565677844923964,wesley,0.08333333333333333,179.79462024369514,44.6752,56.0,-65.7599,S2  ,734780.7638888889,107.29079388970953,0.015950733308125412,0.0029793674219057657
DG5,0.14453775692854676,0.002509284570975309,wesley,0.08356149244303412,340.61042568876746,44.6752,58.0,-65.7599,K2  ,734780.7638888889,107.18045020195575,0.015950733308125412,0.0029793674219057657
GP3,0.004118049645725258,1.4167873225149567e-05,wesley,0.03721850248012738,354.79960860374854,44.2606,10.0,-66.3421,Q1  ,734780.7638888889,107.06611269631419,0.1326756413265034,-0.15768833455216752
GP3,0.0057520747992735105,0.0008331989220985844,wesley,0.03873065444892396,68.37929836217793,44.2606,12.0,-66.3421,O1  ,734780.7638888889,106.45730097802945,0.1326756413265034,-0.15768833455216752
